Florida International University,FIU,FloridaIntl,Panthers,Conference USA
Florida State University,Florida State,FloridaSt,Seminoles,ACC
Fordham University,Fordham,Fordham,Rams,A-10
"California State University, Fresno",Fresno State,FresnoSt,Bulldogs,Mountain West
Furman University,Furman,Furman,Paladins,Southern
Gardner-Webb University,Gardner-Webb,Gardner,Runnin' Bulldogs,Big South
George Mason University,George Mason,GeorgeMason,Patriots,A-10
George Washington University,GW,GeorgeWashington,Colonials,A-10
Georgetown University,Georgetown,Georgetown,Hoyas,Big East
University of Georgia,Georgia,Georgia,Bulldogs,SEC
Georgia Southern University,Georgia Southern,GeorgiaSouthern,Eagles,Sun Belt
Georgia State University,Georgia State,GeorgiaSt,Panthers,Sun Belt
Georgia Institute of Technology,Georgia Tech,GeorgiaTech,Yellow Jackets,ACC
Gonzaga University,Gonzaga,Gonzaga,Bulldogs,West Coast
Grambling State University,Grambling State,GramblingSt,Tigers,SWAC
Grand Canyon University,Grand Canyon,,Antelopes,WAC
University of Wisconsin–Green Bay,UW–Green Bay,GreenBay,Phoenix,Horizon League
Hampton University,Hampton,Hampton,Pirates,MEAC
University of Hartford,Hartford,Hartford,Hawks,America East
Harvard University,Harvard,Harvard,Crimson,Ivy League
University of Hawai_i at M_noa,Hawaii,Hawaii,Rainbow Warriors,Big West
High Point University,High Point,HighPoint,Panthers,Big South
Hofstra University,Hofstra,Hofstra,Pride,CAA
College of the Holy Cross,Holy Cross,HolyCross,Crusaders,Patriot League
Houston Baptist University,Houston Baptist,HoustonBaptist,Huskies,Southland
Howard University,Howard,Howard,Pirates,MEAC
University of Idaho,Idaho,Idaho,Vandals,Big Sky
Idaho State University,Idaho State,IdahoSt,Bengals,Big Sky
University of Illinois at Urbana-Champaign,Illinois,Illinois,Fighting Illini,Big Ten
Illinois State University,Illinois State,IllinoisSt,Redbirds,Missouri Valley
Indiana State University,Indiana State,IndianaSt,Sycamores,Missouri Valley
Indiana University Bloomington,Indiana,Indiana,Hoosiers,Big Ten
Iona College,Iona,Iona,Gaels,MAAC
University of Iowa,Iowa,Iowa,Hawkeyes,Big Ten
Iowa State University,Iowa State,IowaSt,Cyclones,Big 12
Indiana University - Purdue University Fort Wayne,IPFW,IPFW,Mastodons,The Summit
Indiana University - Purdue University Indianapolis,IUPUI,IUPUI,Jaguars,The Summit
Jackson State University,Jackson State,JacksonSt,Tigers,SWAC
Jacksonville State University,Jacksonville State,JacksonvilleSt,Gamecocks,Ohio Valley
Jacksonville University,Jacksonville,Jacksonville,Dolphins,Atlantic Sun
James Madison University,James Madison,JamesMadison,Dukes,CAA
University of Kansas,Kansas,Kansas,Jayhawks,Big 12
Kansas State University,Kansas State,KansasSt,Wildcats,Big 12
Kennesaw State University,Kennesaw State,Kennesaw,Owls,Atlantic Sun
Kent State University,Kent State,KentSt,Golden Flashes,MAC
University of Kentucky,Kentucky,Kentucky,Wildcats,SEC
La Salle University,La Salle,Lasalle,Explorers,A-10
Lafayette College,Lafayette,Lafayette,Leopards,Patriot League
Lamar University,Lamar,Lamar,Cardinals,Southland
Lehigh University,Lehigh,Lehigh,Mountain Hawks,Patriot League
Liberty University,Liberty,Liberty,Flames,Big South
Lipscomb University,Lipscomb,Lipscomb,Bisons,Atlantic Sun
"California State University, Long Beach",Long Beach State,LongBeachSt,49ers,Big West
Long Island University (Brooklyn Campus),LIU-Brooklyn,LongIslandU,Blackbirds,Northeast
Longwood University,Longwood,Longwood,Lancers,Big South
University of Louisiana at Lafayette,Louisiana Lafayette,LALafayette,Ragin' Cajuns,Sun Belt
University of Louisiana at Monroe,Louisiana Monroe,LAMonroe,Warhawks,Sun Belt
Louisiana Tech University,Louisiana Tech,LouisianaTech,Bulldogs,Conference USA
University of Louisville,Louisville,Louisville,Cardinals,ACC
Loyola Marymount University,Loyola Marymount,LoyolaMarymount,Lions,West Coast
Loyola University Chicago,Loyola Chicago,LoyolaChicago,Ramblers,Missouri Valley
Loyola University Maryland,Loyola-MD,LoyolaMD,Greyhounds,Patriot League
Louisiana State University,LSU,LSU,Tigers,SEC
University of Maine,Maine,Maine,Black Bears,America East
Manhattan College,Manhattan,Manhattan,Jaspers,MAAC
Marist College,Marist,Marist,Red Foxes,MAAC
Marquette University,Marquette,Marquette,Golden Eagles,Big East
Marshall University,Marshall,Marshall,Thundering Herd,Conference USA
"University of Maryland, College Park",Maryland,Maryland,Terrapins,Big Ten
University of Massachusetts Amherst,UMass,Massachusetts,Minutemen,A-10
McNeese State University,McNeese State,McNeeseSt,Cowboys,Southland
Mercer University,Mercer,Mercer,Bears,Southern
University of Miami (Florida),Miami (FL),Miami,Hurricanes,ACC
Miami University (Ohio),Miami (OH),MiamiOH,RedHawks,MAC
University of Michigan,Michigan,Michigan,Wolverines,Big Ten
Michigan State University,Michigan State,MichiganSt,Spartans,Big Ten
Middle Tennessee State University,MT,MiddleTennessee,Blue Raiders,Conference USA
University of Wisconsin–Milwaukee,Milwaukee,WisMilwaukee,Panthers,Horizon League
University of Minnesota,Minnesota,Minnesota,Golden Gophers,Big Ten
University of Mississippi,Ole Miss,Mississippi,Rebels,SEC
Mississippi State University,Mississippi State,MississippiSt,Bulldogs,SEC
Mississippi Valley State University,Mississippi Valley State,MissValleySt,Delta Devils,SWAC
University of Missouri,Missouri,Missouri,Tigers,SEC
Missouri State University,Missouri State,MissouriSt,Bears,Missouri Valley
Monmouth University,Monmouth,Monmouth,Hawks,MAAC
Montana State University,Montana State,MontanaSt,Bobcats,Big Sky
Morehead State University,Morehead State,MoreheadSt,Eagles,Ohio Valley
Morgan State University,Morgan State,MorganSt,Bears,MEAC
Mount St. Mary's University,Mt. St. Mary's,MountStMarys,Mountaineers,Northeast
